code,name,date,weight
600458,时代新材,2017-06-01,0.12
002410,广联达,2017-06-01,0.31
000681,视觉中国,2017-06-01,0.12
600848,上海临港,2017-06-01,0.15
002118,紫鑫药业,2017-06-01,0.09
600338,西藏珠峰,2017-06-01,0.12
300296,利亚德,2017-06-01,0.4
600699,均胜电子,2017-06-01,0.31
300136,信维通信,2017-06-01,0.66
002428,云南锗业,2017-06-01,0.12
002268,卫 士 通,2017-06-01,0.2
000025,特 力Ａ,2017-06-01,0.05
300115,长盈精密,2017-06-01,0.42
600826,XD兰生股,2017-06-01,0.1
000762,西藏矿业,2017-06-01,0.15
002400,省广股份,2017-06-01,0.25
603355,莱克电气,2017-06-01,0.12
000877,天山股份,2017-06-01,0.17
600801,华新水泥,2017-06-01,0.11
002223,鱼跃医疗,2017-06-01,0.31
002588,史丹利,2017-06-01,0.1
000777,中核科技,2017-06-01,0.17
000656,金科股份,2017-06-01,0.68
600392,盛和资源,2017-06-01,0.18
600645,中源协和,2017-06-01,0.18
300113,顺网科技,2017-06-01,0.29
000931,中 关 村,2017-06-01,0.11
000401,冀东水泥,2017-06-01,0.3
000786,北新建材,2017-06-01,0.33
002642,荣之联,2017-06-01,0.18
300244,迪安诊断,2017-06-01,0.26
600773,西藏城投,2017-06-01,0.12
002366,台海核电,2017-06-01,0.29
002482,广田集团,2017-06-01,0.13
300273,和佳股份,2017-06-01,0.19
002161,远 望 谷,2017-06-01,0.11
000519,中兵红箭,2017-06-01,0.18
002479,富春环保,2017-06-01,0.15
002030,达安基因,2017-06-01,0.27
300156,神雾环保,2017-06-01,0.5
000806,银河生物,2017-06-01,0.21
