time,price,pchange,change,volume,amount,type
14:12:45,8.19,+1.11,0.0,21,17199,sell
14:12:39,8.19,+1.11,0.0,5,4095,sell
14:12:15,8.19,+1.11,-0.01,4,3276,sell
14:12:12,8.2,+1.23,0.01,300,246000,buy
14:12:06,8.19,+1.11,0.0,10,8190,sell
14:12:03,8.19,+1.11,0.01,902,738738,buy
14:11:57,8.18,+0.99,0.0,9,7362,sell
14:11:24,8.18,+0.99,0.0,10,8180,sell
14:11:15,8.18,+0.99,0.0,5,4090,sell
14:11:12,8.18,+0.99,-0.01,388,317384,sell
14:10:57,8.19,+1.11,0.01,1,819,buy
14:10:54,8.18,+0.99,0.0,1,818,sell
14:10:39,8.18,+0.99,-0.01,54,44172,sell
14:10:27,8.19,+1.11,0.01,1,819,buy
14:10:09,8.18,+0.99,0.0,12,9816,sell
14:09:57,8.18,+0.99,-0.01,9,7362,sell
14:09:54,8.19,+1.11,0.01,23,18837,buy
14:09:51,8.18,+0.99,0.0,20,16360,sell
14:09:33,8.18,+0.99,0.0,2,1636,sell
14:09:15,8.18,+0.99,0.0,22,17996,sell
14:09:03,8.18,+0.99,0.0,13,10634,sell
14:09:00,8.18,+0.99,0.0,5,4090,sell
14:08:57,8.18,+0.99,0.0,6,4908,sell
14:08:45,8.18,+0.99,-0.02,18,14724,sell
14:08:42,8.2,+1.23,0.02,61,50020,buy
14:08:33,8.18,+0.99,0.0,6,4908,sell
14:08:27,8.18,+0.99,0.0,16,13088,sell
14:07:57,8.18,+0.99,0.0,15,12270,norm
14:07:57,8.18,+0.99,0.0,15,12270,sell
14:07:51,8.18,+0.99,-0.02,25,20450,sell
14:07:42,8.2,+1.23,0.0,79,64780,buy
14:07:36,8.2,+1.23,0.01,127,104140,buy
14:07:30,8.19,+1.11,0.0,25,20565,sell
14:07:27,8.19,+1.11,0.0,15,12285,sell
14:07:24,8.19,+1.11,0.0,30,24570,sell
14:07:21,8.19,+1.11,0.0,50,40950,sell
14:07:18,8.19,+1.11,0.0,6,4914,sell
14:07:15,8.19,+1.11,0.0,5,4095,sell
14:07:09,8.19,+1.11,0.0,6,4914,sell
14:07:00,8.19,+1.11,0.0,5,4095,sell
14:06:57,8.19,+1.11,-0.01,84,68796,sell
14:06:54,8.2,+1.23,0.0,231,189420,buy
14:06:51,8.2,+1.23,0.0,22,18040,buy
14:06:39,8.2,+1.23,0.0,31,25420,buy
14:06:33,8.2,+1.23,0.01,15,12300,buy
14:06:27,8.19,+1.11,-0.01,5,4095,sell
14:06:24,8.2,+1.23,0.01,64,52480,buy
14:06:21,8.19,+1.11,0.0,85,69615,sell
14:06:18,8.19,+1.11,0.0,21,17199,sell
14:06:12,8.19,+1.11,0.0,30,24570,sell
14:06:09,8.19,+1.11,0.0,33,27027,sell
14:06:03,8.19,+1.11,-0.01,1,819,sell
14:05:57,8.2,+1.23,0.01,309,253380,buy
14:05:54,8.19,+1.11,0.0,36,29484,sell
14:05:51,8.19,+1.11,-0.01,7,5733,sell
14:05:48,8.2,+1.23,0.01,305,250100,buy
14:05:42,8.19,+1.11,-0.01,123,100737,sell
14:05:39,8.2,+1.23,0.01,46,37720,buy
14:05:30,8.19,+1.11,0.0,1,819,sell
14:05:12,8.19,+1.11,0.0,36,30213,buy
14:05:09,8.19,+1.11,0.0,1,819,buy
14:05:03,8.19,+1.11,0.0,21,17199,buy
14:04:57,8.19,+1.11,0.0,16,13104,buy
14:04:48,8.19,+1.11,0.0,124,101556,buy
14:04:45,8.19,+1.11,0.0,180,147420,buy
14:04:39,8.19,+1.11,0.0,186,152334,buy
14:04:33,8.19,+1.11,0.0,23,18837,buy
14:04:27,8.19,+1.11,0.01,173,141687,buy
14:04:18,8.18,+0.99,0.01,2,1636,norm
14:04:06,8.17,+0.86,-0.02,14,11438,sell
14:04:03,8.19,+1.11,0.03,1227,1004913,buy
14:03:57,8.16,+0.74,-0.02,9,7344,sell
14:03:48,8.18,+0.99,0.02,100,81800,buy
14:03:36,8.16,+0.74,-0.02,6,4896,sell
14:03:33,8.18,+0.99,0.0,240,196320,buy
14:03:21,8.18,+0.99,0.0,1,818,buy
14:03:12,8.18,+0.99,0.0,173,141514,buy
14:03:03,8.18,+0.99,0.02,69,56442,buy
14:03:00,8.16,+0.74,0.0,9,7344,buy
14:02:51,8.16,+0.74,0.0,2,1632,buy
14:02:42,8.16,+0.74,0.01,8,6528,buy
14:02:39,8.15,+0.62,-0.01,38,30970,sell
14:02:36,8.16,+0.74,-0.02,138,112608,sell
14:02:27,8.18,+0.99,0.0,15,12270,buy
14:02:18,8.18,+0.99,0.0,20,16360,buy
14:02:09,8.18,+0.99,0.0,20,16360,buy
14:02:06,8.18,+0.99,0.0,20,16360,buy
14:01:57,8.18,+0.99,0.0,24,19632,buy
14:01:42,8.18,+0.99,0.0,10,8180,buy
14:01:27,8.18,+0.99,0.0,2,1636,buy
14:01:15,8.18,+0.99,0.0,27,22086,buy
14:01:12,8.18,+0.99,0.0,19,15542,buy
14:00:51,8.18,+0.99,0.01,1,818,buy
14:00:48,8.17,+0.86,0.0,49,40033,buy
14:00:42,8.17,+0.86,0.0,1,817,buy
14:00:30,8.17,+0.86,0.0,3,2451,norm
14:00:30,8.17,+0.86,0.01,3,2451,buy
14:00:06,8.16,+0.74,0.0,1,816,sell
13:59:21,8.16,+0.74,0.0,100,81600,sell
13:59:03,8.16,+0.74,-0.01,6,4896,sell
13:58:57,8.17,+0.86,0.0,10,8170,buy
13:58:51,8.17,+0.86,0.0,10,8170,buy
13:58:48,8.17,+0.86,0.0,3,2451,buy
13:58:24,8.17,+0.86,0.0,1,817,buy
13:57:51,8.17,+0.86,-0.01,3,2451,norm
13:57:12,8.18,+0.99,0.03,2,1636,buy
13:57:03,8.15,+0.62,0.0,20,16300,sell
13:56:48,8.15,+0.62,0.0,12,9780,sell
13:56:33,8.15,+0.62,-0.03,10,8150,sell
13:56:30,8.18,+0.99,0.03,490,400820,buy
13:56:18,8.15,+0.62,-0.02,4,3260,sell
13:56:15,8.17,+0.86,0.02,8,6536,buy
13:55:54,8.15,+0.62,0.0,203,165445,buy
13:55:42,8.15,+0.62,0.0,8,6520,sell
13:55:33,8.15,+0.62,-0.03,5,4075,norm
13:55:30,8.18,+0.99,0.03,244,199592,buy
13:55:06,8.15,+0.62,0.0,2,1630,buy
13:55:00,8.15,+0.62,0.0,1,815,buy
13:54:48,8.15,+0.62,0.01,1,815,buy
13:54:36,8.14,+0.49,-0.01,18,14652,sell
13:54:33,8.15,+0.62,0.0,2,1630,buy
13:54:30,8.15,+0.62,0.0,5,4075,buy
13:54:21,8.15,+0.62,-0.02,186,151590,sell
13:54:12,8.17,+0.86,0.02,33,26961,buy
13:54:09,8.15,+0.62,-0.02,18,14670,sell
13:54:06,8.17,+0.86,0.0,1,817,buy
13:53:51,8.17,+0.86,0.01,3,2451,buy
13:53:45,8.16,+0.74,0.0,10,8160,sell
13:53:42,8.16,+0.74,-0.01,1,816,sell
13:53:15,8.17,+0.86,-0.01,32,26144,norm
13:53:00,8.18,+0.99,-0.01,33,26994,norm
13:53:00,8.18,+0.99,0.02,33,26994,buy
