,time,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
88,2011-05-10,473542.14460600005,795739.258782,0.00348504899422081,1269281.403388,1235955.541738,1278400.0644430001,14.0,-3.3201283295846236
89,2011-05-11,456737.744445,795739.258782,-0.013239302266735501,1252477.0032270001,1235955.541738,1278400.0644430001,14.0,-3.3201283295846236
90,2011-05-12,448712.932193,795739.258782,-0.006407153369941396,1244452.1909750002,1235955.541738,1278400.0644430001,14.0,-3.3201283295846236
91,2011-05-13,448007.506141,795739.258782,-0.0005668566917363498,1243746.764923,1235955.541738,1278400.0644430001,15.0,-3.3201283295846236
92,2011-05-16,443027.349529,795739.258782,-0.004004156434777366,1238766.608311,1235955.541738,1278400.0644430001,18.0,-3.3201283295846236
93,2011-05-17,424862.28671,795739.258782,-0.014663829891061811,1220601.545492,1220601.545492,1278400.0644430001,19.0,-4.521160516069203
94,2011-05-18,455791.897433,795739.258782,0.025339645715861284,1251531.156215,1220601.545492,1278400.0644430001,20.0,-4.521160516069203
95,2011-05-19,454324.54703899997,795739.258782,-0.001172444159071145,1250063.8058210001,1220601.545492,1278400.0644430001,21.0,-4.521160516069203
96,2011-05-20,454657.952881,795739.258782,0.0002667110594254429,1250397.211663,1220601.545492,1278400.0644430001,22.0,-4.521160516069203
97,2011-05-23,440231.323908,795739.258782,-0.01153763687125701,1235970.58269,1220601.545492,1278400.0644430001,25.0,-4.521160516069203
98,2011-05-24,453502.90167100006,795739.258782,0.010737778025521784,1249242.160453,1220601.545492,1278400.0644430001,26.0,-4.521160516069203
99,2011-05-25,467543.802683,795739.258782,0.011239535020902927,1263283.061465,1220601.545492,1278400.0644430001,27.0,-4.521160516069203
100,2011-05-26,470963.838354,795739.258782,0.0027072599762669185,1266703.0971360002,1220601.545492,1278400.0644430001,28.0,-4.521160516069203
101,2011-05-27,483713.334211,795739.258782,0.010065101984692652,1279452.592993,1279452.592993,1279452.592993,28.0,-4.521160516069203
102,2011-05-31,476685.11345,795739.258782,-0.0054931466781109545,1272424.372232,1272424.372232,1279452.592993,28.0,-4.521160516069203
103,2011-06-01,481590.81378100003,795739.258782,0.003855396389802458,1277330.072563,1272424.372232,1279452.592993,28.0,-4.521160516069203
104,2011-06-02,479099.105016,795739.258782,-0.0019507164346333902,1274838.363798,1272424.372232,1279452.592993,28.0,-4.521160516069203
105,2011-06-03,466890.4716040001,795739.258782,-0.009576612815155497,1262629.7303860001,1262629.7303860001,1279452.592993,28.0,-4.521160516069203
106,2011-06-06,447256.191046,795739.258782,-0.015550307493549725,1242995.449828,1242995.449828,1279452.592993,28.0,-4.521160516069203
107,2011-06-07,456071.98823799996,795739.258782,0.007092380903904334,1251811.2470200001,1242995.449828,1279452.592993,28.0,-4.521160516069203
108,2011-06-08,434603.849507,795739.258782,-0.01714966116665432,1230343.108289,1230343.108289,1279452.592993,28.0,-4.521160516069203
109,2011-06-09,445812.98014999996,795739.258782,0.009110572951140502,1241552.238932,1230343.108289,1279452.592993,28.0,-4.521160516069203
